"","ST_CNTY_CODE","included_bc"
"621","39017","within copperhead range"
"622","13273","within copperhead range"
"623","13063","within copperhead range"
"624","18115","within copperhead range"
"625","13073","within copperhead range"
"626","42043","within copperhead range"
"627","54079","within copperhead range"
"628","34037","within copperhead range"
"629","18123","within copperhead range"
"630","28145","within copperhead range"
"631","39115","within copperhead range"
"632","05113","within copperhead range"
"633","13193","within copperhead range"
"634","47129","within copperhead range"
"635","24047","within copperhead range"
"636","17185","within copperhead range"
"637","21209","within copperhead range"
"638","45023","within copperhead range"
"639","13233","within copperhead range"
"640","29101","within copperhead range"
"641","22021","within copperhead range"
"642","21061","within copperhead range"
"643","17005","within copperhead range"
"644","17009","within copperhead range"
"645","29123","within copperhead range"
"646","42127","within copperhead range"
"647","48041","within copperhead range"
"648","40095","within copperhead range"
"649","24001","within copperhead range"
"650","54103","within copperhead range"
"651","18117","within copperhead range"
"652","13089","within copperhead range"
"653","13227","within copperhead range"
"654","47013","within copperhead range"
"655","37069","within copperhead range"
"656","24510","within copperhead range"
"657","20111","within copperhead range"
"658","22107","within copperhead range"
"659","47123","within copperhead range"
"660","05063","within copperhead range"
"661","05085","within copperhead range"
"662","13119","within copperhead range"
"663","13265","within copperhead range"
"664","48245","within copperhead range"
"665","48027","within copperhead range"
"666","28069","within copperhead range"
"667","05019","within copperhead range"
"668","01019","within copperhead range"
"669","36111","within copperhead range"
"670","34007","within copperhead range"
"671","17083","within copperhead range"
"672","51085","within copperhead range"
"673","05049","within copperhead range"
"674","37155","within copperhead range"
"675","05083","within copperhead range"
"676","37109","within copperhead range"
"677","05091","within copperhead range"
"678","13045","within copperhead range"
"679","20161","within copperhead range"
"680","51167","within copperhead range"
"681","37027","within copperhead range"
"682","18173","within copperhead range"
"683","21001","within copperhead range"
"684","21077","within copperhead range"
"685","21097","within copperhead range"
"686","48181","within copperhead range"
"687","42059","within copperhead range"
"688","01065","within copperhead range"
"689","01105","within copperhead range"
"690","01033","within copperhead range"
"691","21017","within copperhead range"
"692","47149","within copperhead range"
"693","01063","within copperhead range"
"694","37063","within copperhead range"
"695","17151","within copperhead range"
"696","47159","within copperhead range"
"697","51089","within copperhead range"
"698","51510","within copperhead range"
"699","19101","within copperhead range"
"700","48119","within copperhead range"
"701","47169","within copperhead range"
"702","21193","within copperhead range"
"703","13279","within copperhead range"
"704","48397","within copperhead range"
